trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.99}",25,0,-54.00654867521434,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.3, 'e': 0.9801}",25,0,-184.80978151329867,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
3,False,"{'a': 0.3, 'e': 0.9702989999999999}",20,0,-75.72644322954692,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.96059601}",20,15,-36.55098738145428,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.3, 'e': 0.9509900498999999}",20,0,2.6110967559158897,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.9414801494009999}",20,0,-54.31998068127613,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.9320653479069899}",20,0,-13.04962163437822,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.92274469442792}",25,0,-195.4070813623424,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.9135172474836407}",20,0,-176.61446922824433,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.9043820750088043}",25,6,-67.13522036263242,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 0}",1
11,False,"{'a': 0.3, 'e': 0.8953382542587163}",20,9,-134.3428612604313,"{0: 5, 1: 0, 2: 2, 3: 2, 4: 2}",1
12,False,"{'a': 0.3, 'e': 0.8863848717161291}",20,0,-40.95499892142814,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.8775210229989678}",25,18,-0.7942478790277703,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.3, 'e': 0.8687458127689781}",25,0,-113.35653798368263,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.8600583546412883}",20,0,-75.63887462723129,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.8514577710948754}",30,0,-156.5705342983935,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
