trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.65937183005647,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.632563003708015,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.51854186578046,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.66774343002257,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.937312891801405,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,15,0.9958626990436494,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.38010102849978,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-68.20695781983771,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.78554380053103,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.83052658370596,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-275.31185901488846,"{0: 18, 1: 5, 2: 7, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.8883326382345818,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.16216609665946,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.6408900327894,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.78883527073936,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.02240281321278,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.50197473908054,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.45752672901128,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.78032147654666,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.38350793954083,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-218.8875011965555,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.66035563016666,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.19697713398452,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.3286810874452,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.44659157825794,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,1,-71.37296456722528,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.03418666788814,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.25700616348254,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,11,-91.20029171689988,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.27538778301306,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
